Filename,Year,Quarter,Filter,Rows Before,Rows After,Passengers Before,Passengers After
Origin_and_Destination_Survey_DB1BMarket_2006_1.csv,2006,1,File Read,4776596,4776596,10651641.0,10651641.0
Origin_and_Destination_Survey_DB1BMarket_2006_1.csv,2006,1,NaN Drop,4776596,4776596,10651641.0,10651641.0
Origin_and_Destination_Survey_DB1BMarket_2006_1.csv,2006,1,Bulk Fare,4776596,4775640,10651641.0,10649616.0
Origin_and_Destination_Survey_DB1BMarket_2006_1.csv,2006,1,Carrier Change,4775640,4537883,10649616.0,10393698.0
Origin_and_Destination_Survey_DB1BMarket_2006_1.csv,2006,1,Geography Restriction,4537883,4259324,10393698.0,9777301.0
Origin_and_Destination_Survey_DB1BMarket_2006_1.csv,2006,1,Coupon Restriction,4259324,4259193,9777301.0,9777170.0
Origin_and_Destination_Survey_DB1BMarket_2006_1.csv,2006,1,Fare Min (fixed: $25),4259193,4039505,9777170.0,9228038.0
Origin_and_Destination_Survey_DB1BMarket_2006_1.csv,2006,1,Fare Max (fixed: $2500),4039505,4039375,9228038.0,9227907.0
Origin_and_Destination_Survey_DB1BMarket_2006_1.csv,2006,1,Collapse,4039375,76573,9227907.0,9227907.0
Origin_and_Destination_Survey_DB1BMarket_2006_2.csv,2006,2,File Read,5476476,5476476,12064290.0,12064290.0
Origin_and_Destination_Survey_DB1BMarket_2006_2.csv,2006,2,NaN Drop,5476476,5476476,12064290.0,12064290.0
Origin_and_Destination_Survey_DB1BMarket_2006_2.csv,2006,2,Bulk Fare,5476476,5475587,12064290.0,12062866.0
Origin_and_Destination_Survey_DB1BMarket_2006_2.csv,2006,2,Carrier Change,5475587,5191781,12062866.0,11755353.0
Origin_and_Destination_Survey_DB1BMarket_2006_2.csv,2006,2,Geography Restriction,5191781,4869470,11755353.0,11022906.0
Origin_and_Destination_Survey_DB1BMarket_2006_2.csv,2006,2,Coupon Restriction,4869470,4869327,11022906.0,11022761.0
Origin_and_Destination_Survey_DB1BMarket_2006_2.csv,2006,2,Fare Min (fixed: $25),4869327,4611582,11022761.0,10395199.0
Origin_and_Destination_Survey_DB1BMarket_2006_2.csv,2006,2,Fare Max (fixed: $2500),4611582,4611234,10395199.0,10394797.0
Origin_and_Destination_Survey_DB1BMarket_2006_2.csv,2006,2,Collapse,4611234,80168,10394797.0,10394797.0
Origin_and_Destination_Survey_DB1BMarket_2006_3.csv,2006,3,File Read,5139735,5139735,11555683.0,11555683.0
Origin_and_Destination_Survey_DB1BMarket_2006_3.csv,2006,3,NaN Drop,5139735,5139735,11555683.0,11555683.0
Origin_and_Destination_Survey_DB1BMarket_2006_3.csv,2006,3,Bulk Fare,5139735,5138848,11555683.0,11554433.0
Origin_and_Destination_Survey_DB1BMarket_2006_3.csv,2006,3,Carrier Change,5138848,4872438,11554433.0,11268697.0
Origin_and_Destination_Survey_DB1BMarket_2006_3.csv,2006,3,Geography Restriction,4872438,4565061,11268697.0,10533150.0
Origin_and_Destination_Survey_DB1BMarket_2006_3.csv,2006,3,Coupon Restriction,4565061,4564917,10533150.0,10532999.0
Origin_and_Destination_Survey_DB1BMarket_2006_3.csv,2006,3,Fare Min (fixed: $25),4564917,4268740,10532999.0,9832925.0
Origin_and_Destination_Survey_DB1BMarket_2006_3.csv,2006,3,Fare Max (fixed: $2500),4268740,4268488,9832925.0,9832670.0
Origin_and_Destination_Survey_DB1BMarket_2006_3.csv,2006,3,Collapse,4268488,82609,9832670.0,9832670.0
Origin_and_Destination_Survey_DB1BMarket_2006_4.csv,2006,4,File Read,5141974,5141974,11641650.0,11641650.0
Origin_and_Destination_Survey_DB1BMarket_2006_4.csv,2006,4,NaN Drop,5141974,5141974,11641650.0,11641650.0
Origin_and_Destination_Survey_DB1BMarket_2006_4.csv,2006,4,Bulk Fare,5141974,5139410,11641650.0,11638461.0
Origin_and_Destination_Survey_DB1BMarket_2006_4.csv,2006,4,Carrier Change,5139410,4889791,11638461.0,11371245.0
Origin_and_Destination_Survey_DB1BMarket_2006_4.csv,2006,4,Geography Restriction,4889791,4603544,11371245.0,10700884.0
Origin_and_Destination_Survey_DB1BMarket_2006_4.csv,2006,4,Coupon Restriction,4603544,4603418,10700884.0,10700753.0
Origin_and_Destination_Survey_DB1BMarket_2006_4.csv,2006,4,Fare Min (fixed: $25),4603418,4342969,10700753.0,10076150.0
Origin_and_Destination_Survey_DB1BMarket_2006_4.csv,2006,4,Fare Max (fixed: $2500),4342969,4342698,10076150.0,10075878.0
Origin_and_Destination_Survey_DB1BMarket_2006_4.csv,2006,4,Collapse,4342698,81869,10075878.0,10075878.0
Origin_and_Destination_Survey_DB1BMarket_2007_1.csv,2007,1,File Read,4795202,4795202,10786370.0,10786370.0
Origin_and_Destination_Survey_DB1BMarket_2007_1.csv,2007,1,NaN Drop,4795202,4795202,10786370.0,10786370.0
Origin_and_Destination_Survey_DB1BMarket_2007_1.csv,2007,1,Bulk Fare,4795202,4792320,10786370.0,10782530.0
Origin_and_Destination_Survey_DB1BMarket_2007_1.csv,2007,1,Carrier Change,4792320,4553579,10782530.0,10525404.0
Origin_and_Destination_Survey_DB1BMarket_2007_1.csv,2007,1,Geography Restriction,4553579,4272667,10525404.0,9873585.0
Origin_and_Destination_Survey_DB1BMarket_2007_1.csv,2007,1,Coupon Restriction,4272667,4272548,9873585.0,9873465.0
Origin_and_Destination_Survey_DB1BMarket_2007_1.csv,2007,1,Fare Min (fixed: $25),4272548,4031460,9873465.0,9304910.0
Origin_and_Destination_Survey_DB1BMarket_2007_1.csv,2007,1,Fare Max (fixed: $2500),4031460,4031096,9304910.0,9304539.0
Origin_and_Destination_Survey_DB1BMarket_2007_1.csv,2007,1,Collapse,4031096,78552,9304539.0,9304539.0
Origin_and_Destination_Survey_DB1BMarket_2007_2.csv,2007,2,File Read,5388985,5388985,12245829.0,12245829.0
Origin_and_Destination_Survey_DB1BMarket_2007_2.csv,2007,2,NaN Drop,5388985,5388985,12245829.0,12245829.0
Origin_and_Destination_Survey_DB1BMarket_2007_2.csv,2007,2,Bulk Fare,5388985,5385010,12245829.0,12240180.0
Origin_and_Destination_Survey_DB1BMarket_2007_2.csv,2007,2,Carrier Change,5385010,5110050,12240180.0,11942833.0
