nonstop,t,count
False,24,8449
False,1,1433
False,2,848
False,23,705
False,3,655
False,22,492
False,4,486
False,5,443
False,21,403
False,6,400
False,7,394
False,8,338
False,18,334
False,20,326
False,9,306
False,10,298
False,11,297
False,19,294
False,17,283
False,15,270
False,12,264
False,16,253
False,14,239
False,13,235
True,24,1874
True,1,404
True,2,269
True,3,218
True,4,156
True,23,152
True,5,143
True,6,128
True,7,118
True,11,116
True,9,108
True,20,106
True,8,101
True,13,101
True,22,100
True,21,98
True,12,93
True,10,86
True,15,84
True,18,79
True,17,78
True,16,74
True,19,74
True,14,73
